#	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	TotCases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent	1 Caseevery X ppl	1 Deathevery X ppl	1 Testevery X ppl	New Cases/1M pop	New Deaths/1M pop	Active Cases/1M pop
	Asia	114377796	621493	1341231	2161	105889842	411989	7146723	31142						Asia						
	North America	94606477	106862	1396184	2491	65007474	252942	28202819	15797						North America						
	South America	53895470	147181	1253922	1442	47337263	172211	5304285	13704						South America						
	Europe	153871012	841233	1699174	3239	128841995	1368049	23329843	15799						Europe						
	Africa	11495961	9582	248691	+140	10567038	33258	680232	1863						Africa						
	Oceania	3407970	33744	7639	+47	3089422	+882	310909	231						Australia/Oceania						
		721		15		706		0	0												
	World	431655407	1760095	5946856	9520	360733740	2239331	64974811	78536	55377	762.9				All						
1	China	108380	+186	4636		101646	+48	2098	18	75	3	160000000	111163	1439323776	Asia	13280	310467	9	0.1		1
2	USA	80446512	70885	969602	1823	52662670	209108	26814240	9545	240714	2901	945419023	2828907	334199450	North America	4	345	0	212	5	80234
3	India	42893585	12406	513258	+304	42236505	16609	143822	8944	30587	366	763569165	544494	1402346849	Asia	33	2732	2	9	0.2	103
4	Brazil	28580995	95493	647486	+996	25901919	129112	2031590	8318	132905	3011	63776166	296567	215047865	South America	8	332	3	444	5	9447
5	France	22534971	66732	137770	+281	20250901	240836	2146300	3055	343985	2103	243529298	3717357	65511416	Europe	3	476	0	1019	4	32762
6	UK	18773164	38933	161104	+125	17088177	76308	1523883	304	274167	2353	479556923	7003556	68473350	Europe	4	425	0	569	2	22255
7	Russia	15928568	132998	348578	+762	12972661	136433	2607329	2300	109072	2387	273400000	1872121	146037535	Europe	9	419	1	911	5	17854
8	Germany	14311052	218431	122895	+273	10435800	201700	3752357	2494	169914	1459	104701826	1243117	84225205	Europe	6	685	1	2593	3	44551
9	Turkey	13841889	79708	93539	+281	13043838	94413	704512	1128	161264	1090	142130760	1655890	85833472	Asia	6	918	1	929	3	8208
10	Italy	12651251	46169	154013	+249	11298010	69439	1199228	839	209752	2553	185945890	3082893	60315380	Europe	5	392	0	765	4	19883
11	Spain	10949997	35892	99162	+226	9080144	101510	1770691	1112	234051	2120	471036328	10068190	46784608	Europe	4	472	0	767	5	37848
12	Argentina	8878486	10298	125872	+97	8628654	12858	123960	1384	193521	2744	34114786	743586	45878744	South America	5	364	1	224	2	2702
13	Iran	7011932	12957	135952	+226	6579768	18392	296212	4110	81759	1585	46780865	545466	85763051	Asia	12	631	2	151	3	3454
14	Netherlands	6234953	41177	21531	+13	4059701	63244	2153721	171	362554	1252	21107399	1227366	17197320	Europe	3	799	1	2394	0.8	125236
15	Colombia	6056556	2249	138421	+57	5880718	3375	37417	342	116976	2673	33085533	639013	51775956	South America	9	374	2	43	1	723
16	Poland	5620946	18282	110858	+341	5003336	33455	506752	921	148788	2934	33373589	883406	37778333	Europe	7	341	1	484	9	13414
17	Mexico	5455237	18671	316941	+449	4715751	19337	422545	4798	41591	2416	14974790	114169	131163399	North America	24	414	9	142	3	3222
18	Indonesia	5408328	57426	147342	+317	4674873	42518	586113	2807	19434	529	83025519	298346	278286394	Asia	51	1889	3	206	1	2106
19	Ukraine	4809624	25789	105505	+276	4058020	34987	646099	177	111074	2437	19521252	450827	43300966	Europe	9	410	2	596	6	14921
20	Japan	4684839	77810	22529	+257	3855553	72136	806757	1474	37229	179	38137842	303069	125838691	Asia	27	5586	3	618	2	6411
21	South Africa	3667560	2411	99018	+40	3533695	1735	34847	546	60581	1636	22994945	379831	60539901	Africa	17	611	3	40	0.7	576
22	Philippines	3657342	1745	56165	+188	3546098	2045	55079	299	32660	502	27993027	249977	111982424	Asia	31	1994	4	16	2	492
23	Israel	3601904	12571	10105	+30	3483570	15644	108229	630	386222	1084	41373364	4436346	9326000	Asia	3	923	0	1348	3	11605
24	Czechia	3549479	11211	38433	+13	3369019	8802	142027	230	330439	3578	52451684	4882994	10741705	Europe	3	279	0	1044	1	13222
25	Belgium	3529041	8473	30076	+36	2758822	39584	740143	285	302333	2577	31540184	2702047	11672699	Europe	3	388	0	726	3	63408
26	Peru	3503892		209927		N/A	N/A	N/A	1087	103887	6224	27110980	803811	33728046	South America	10	161	1			46647
27	Malaysia	3337227	32070	32534	+46	3018172	23332	286521	327	100979	984	48784101	1476124	33048778	Asia	10	1016	1	970	1	8670
28	Canada	3269696	7639	36377	+124	3119956	10662	113363	736	85399	950	57981634	1514390	38287115	North America	12	1053	1	200	3	2961
29	Portugal	3231075	11636	20941	+19	2741600	9591	468534	106	318404	2064	37805639	3725525	10147735	Europe	3	485	0	1147	2	46171
30	Australia	3126115	24988	5065	+39	2891534		229516	154	120295	195	63222755	2432855	25987059	Australia/Oceania	8	5131	0	962	2	8832
31	Vietnam	3041506	69128	39884	+111	2339784	19062	661838	3137	30790	404	78754090	797261	98780873	Asia	32	2477	1	700	1	6700
32	Chile	2953895	30675	41795	+224	1959775	17111	952325	1070	152369	2156	32622958	1682773	19386433	South America	7	464	1	1582	12	49123
33	Thailand	2794350	23557	22771	+38	2590589	16131	180990	687	39869	325	17270775	246414	70088467	Asia	25	3078	4	336	0.5	2582
34	Switzerland	2735889	12002	13200		2011974	48437	710715	145	312357	1507	18513343	2113671	8758858	Europe	3	664	0	1370		81142
35	Romania	2708315	10749	63073	+105	2400333	20182	244909	1002	142346	3315	20883186	1097596	19026300	Europe	7	302	1	565	6	12872
36	Austria	2578962	28591	14700	+39	2286292	28916	277970	198	283682	1617	157315892	17304508	9091035	Europe	4	618	0	3145	4	30576
37	Denmark	2564526	23788	4461	+39	2092108	50495	467957	37	440202	766	124965621	21450387	5825798	Europe	2	1306	0	4083	7	80325
38	S. Korea	2499188	170006	7689	+82	969524		1521975	581	48677	150	15804065	307820	51341863	Asia	21	6677	3	3311	2	29644
39	Sweden	2437850		17048		1958527	47651	462275	72	238935	1671	18107257	1774703	10202981	Europe	4	598	1			45308
40	Greece	2369396	15819	25603	+65	2137702	33966	206091	454	229167	2476	64571080	6245275	10339190	Europe	4	404	0	1530	6	19933
41	Iraq	2298164	1499	24931	+14	2233566	2606	39667	174	55102	598	17921881	429702	41707686	Asia	18	1673	2	36	0.3	951
42	Bangladesh	1939651	1516	29005	+10	1786146	6459	124500	1275	11588	173	13311219	79522	167391281	Asia	86	5771	13	9	0.06	744
43	Serbia	1900293	3718	15059	+49	1753333	23232	131901	115	218943	1735	8704941	1002943	8679399	Europe	5	576	1	428	6	15197
44	Hungary	1774676	5512	43664	+102	1557214	10342	173798	165	184479	4539	10711279	1113445	9619945	Europe	5	220	1	573	11	18066
45	Jordan	1606837	7415	13767	+16	1462008	16805	131062	879	154952	1328	16145005	1556905	10369933	Asia	6	753	1	715	2	12639
46	Georgia	1584454	8455	16022	+41	1447969	18206	120463		398449	4029	15770825	3965953	3976554	Asia	3	248	0	2126	10	30293
47	Pakistan	1505328	1455	30114	+18	1412429	2914	62785	1220	6604	132	26258701	115194	227951465	Asia	151	7570	9	6	0.08	275
48	Slovakia	1408717	15183	18338	+24	1168688	20125	221691	252	257818	3356	6309081	1154664	5463998	Europe	4	298	1	2779	4	40573
49	Kazakhstan	1300730	+566	13560	+7	1261996	2566	25174	528	67936	708	11575012	604549	19146520	Asia	15	1412	2	30	0.4	1315
50	Ireland	1287908	3729	6471	+11	1147206	3998	134231	55	256116	1287	11317728	2250668	5028609	Europe	4	777	0	742	2	26693
51	Norway	1202017	15595	1598		88952		1111467	22	218905	291	9852076	1794205	5491054	Europe	5	3436	1	2840		202414
52	Morocco	1160303	+362	15952	+14	1138693	+773	5658	293	30834	424	11237010	298611	37630931	Africa	32	2359	3	10	0.4	150
53	Bulgaria	1083425	2854	35357	+59	824354	9016	223714	530	157881	5152	9125177	1329758	6862286	Europe	6	194	1	416	9	32601
54	Cuba	1067522	+595	8494		1056363	+737	2665	34	94344	751	12920253	1141846	11315228	North America	11	1332	1	53		236
55	Lebanon	1060152	3152	10044	+17	682977		367131	186	156478	1482	4795578	707824	6775097	Asia	6	675	1	465	3	54188
56	Croatia	1049667	2559	14964	+22	1014125	3405	20578	109	258312	3682	4496130	1106450	4063565	Europe	4	272	1	630	5	5064
57	Tunisia	992574	2091	27640	+13	938106	3775	26828	222	82561	2299	4315443	358954	12022260	Africa	12	435	3	174	1	2232
58	Nepal	976512	+151	11931	+1	954903	+562	9678	100	32551	398	5402214	180077	29999387	Asia	31	2514	6	5	0.03	323
59	Belarus	902315	5996	6421	+14	888963	6587	6931		95542	680	12367231	1309505	9444203	Europe	10	1471	1	635	1	734
60	Bolivia	891851	+739	21406	+6	782821	1132	87624	220	74725	1794	2669468	223664	11935179	South America	13	558	4	62	0.5	7342
61	Slovenia	887224	2335	6256	+10	822655	12189	58313	112	426671	3009	2565178	1233609	2079409	Europe	2	332	1	1123	5	28043
62	Lithuania	885863	6184	8336	+15	788567	7443	88960	107	333066	3134	7707144	2897723	2659724	Europe	3	319	0	2325	6	33447
63	UAE	877406	+782	2299	+1	827067	2096	48040		86982	228	136017818	13484249	10087163	Asia	11	4388	0	78	0.10	4762
64	Uruguay	831950	4136	6932	+13	795279	6618	29739	132	238138	1984	5669122	1622735	3493559	South America	4	504	1	1184	4	8513
65	Ecuador	827760	2574	35223	+14	N/A	N/A	N/A	759	45773	1948	2470170	136593	18084102	South America	22	513	7	142	0.8	19280
66	Costa Rica	799826	2796	7984	+15	657323	5846	134519	132	154684	1544	3635922	703175	5170722	North America	6	648	1	541	3	26016
67	Azerbaijan	781538	1755	9330	+23	754041	4517	18167		75954	907	6522155	633854	10289677	Asia	13	1103	2	171	2	1766
68	Guatemala	770135	3660	16906	+45	706860	3664	46369	5	41717	916	3897871	211140	18461036	North America	24	1092	5	198	2	2512
69	Panama	753694	+787	8058	+11	737040	+895	8596	83	170265	1820	5493703	1241071	4426582	North America	6	549	1	178	2	1942
70	Saudi Arabia	742541	+677	8991	+1	718979	1585	14571	697	20796	252	40449725	1132842	35706416	Asia	48	3971	1	19	0.03	408
71	Singapore	661198	18593	975	+12	586733	13985	73490	46	111574	165	23141120	3904939	5926116	Asia	9	6078	0	3137	2	12401
72	Sri Lanka	641786	1208	16116	+30	607912	+329	17758		29766	747	6282076	291361	21561128	Asia	34	1338	3	56	1	824
