Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	TotCases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent	1 Caseevery X ppl	1 Deathevery X ppl	1 Testevery X ppl	New Cases/1M pop	New Deaths/1M pop	Active Cases/1M pop
North America	94810762	3519	1401192	72	65626841	8480	27782729	14461	0	0	0	0	0	North America	0	0	0	0.0	0.0	0
Asia	116434326	277135	1347632	948	107401756	194398	7684938	30905	0	0	0	0	0	Asia	0	0	0	0.0	0.0	0
South America	54241651	18179	1257444	153	47804284	30697	5179923	13397	0	0	0	0	0	South America	0	0	0	0.0	0.0	0
Europe	155841408	234454	1706958	1247	132459553	663727	21674897	14595	0	0	0	0	0	Europe	0	0	0	0.0	0.0	0
Africa	11520505	974	249272	11	10610439	2930	660794	1823	0	0	0	0	0	Africa	0	0	0	0.0	0.0	0
Oceania	3551152	35024	7757	13	3187639	4589	355756	195	0	0	0	0	0	Australia/Oceania	0	0	0	0.0	0.0	0
	721	0	15	0	706	0	0	0	0	0	0	0	0		0	0	0	0.0	0.0	0
World	436400525	569285	5970270	2444	367091218	904821	63339037	75376	55986	765	0	0	0	All	0	0	0	0.0	0.0	0
USA	80567757	0	973119	0	53192990	0	26401648	8279	241065	2912	947752321	2835754	334215330	North America	4	343	0	0.0	0.0	78996
India	42924130	0	513843	0	42307686	0	102601	8944	30606	366	767481346	547240	1402457970	Asia	33	2729	2	0.0	0.0	73
Brazil	28768104	0	649195	0	26183623	0	1935286	8318	133768	3019	63776166	296550	215060231	South America	7	331	3	0.0	0.0	8999
France	22689332	0	138135	0	20666237	0	1884960	2484	346335	2109	246629975	3764619	65512597	Europe	3	474	0	0.0	0.0	28772
UK	18804765	0	161224	0	17153253	0	1490288	289	274617	2354	480341745	7014719	68476267	Europe	4	425	0	0.0	0.0	21764
Russia	16398036	106920	351660	733	13575652	116742	2470724	2300	112286	2408	273400000	1872115	146038047	Europe	9	415	1	732.0	5.0	16918
Germany	14745312	16560	123330	2	11010700	168400	3611282	2494	175066	1464	104701826	1243085	84227395	Europe	6	683	1	197.0	0.02	42875
Turkey	14025181	0	94232	0	13289352	0	641597	1128	163386	1098	143400825	1670542	85840907	Asia	6	911	1	0.0	0.0	7474
Italy	12764558	0	154560	0	11487720	0	1122278	733	211633	2563	187137866	3102693	60314654	Europe	5	390	0	0.0	0.0	18607
Spain	10977524	0	99410	0	9181728	0	1696386	1053	234639	2125	471036328	10068158	46784756	Europe	4	471	0	0.0	0.0	36259
Argentina	8897178	0	126120	0	8670946	0	100112	1156	193914	2749	34235204	746155	45882140	South America	5	364	1	0.0	0.0	2182
Iran	7051429	10962	136838	207	6652188	18062	262403	3952	82211	1595	47252235	550906	85771863	Asia	12	627	2	128.0	2.0	3059
Netherlands	6361626	28854	21554	6	4332685	48536	2007387	173	369913	1253	21107399	1227343	17197630	Europe	3	798	1	1678.0	0.3	116725
